analysisId,analysisName,sqlFileName,results,distResults
0,Number of persons,0_numberOfPersons.sql,TRUE,TRUE
1,Number of persons,1_numberOfPersons.sql,TRUE,FALSE
2,Number of persons by gender,2_3_4_5_numberOfPersons.sql,TRUE,FALSE
3,Number of persons by year of birth,2_3_4_5_numberOfPersons.sql,TRUE,FALSE
4,Number of persons by race,2_3_4_5_numberOfPersons.sql,TRUE,FALSE
5,Number of persons by ethnicity,2_3_4_5_numberOfPersons.sql,TRUE,FALSE
7,Number of persons with invalid provider_id,7_8_9_numberOfPersonsWithInvalidId.sql,TRUE,FALSE
8,Number of persons with invalid location_id,7_8_9_numberOfPersonsWithInvalidId.sql,TRUE,FALSE
9,Number of persons with invalid care_site_id,7_8_9_numberOfPersonsWithInvalidId.sql,TRUE,FALSE
101,"Number of persons by age, with age at first observation period",101_numberOfPersonsByAge.sql,TRUE,FALSE
102,"Number of persons by gender by age, with age at first observation period",102_numberOfPersonsByGenderByAge.sql,TRUE,FALSE
103,Distribution of age at first observation period,103_distributionOfAge.sql,FALSE,TRUE
104,Distribution of age at first observation period by gender,104_distributionOfAgeByGender.sql,FALSE,TRUE
105,Length of observation (days) of first observation period,105_lengthOfObservation.sql,FALSE,TRUE
106,Length of observation (days) of first observation period by gender,106_lengthOfObservationByGender.sql,FALSE,TRUE
107,Length of observation (days) of first observation period by age decile,107_lengthOfObservationByAgeDecile.sql,FALSE,TRUE
108,"Number of persons by length of first observation period, in 30d increments",108_numberOfPersonsByLength.sql,TRUE,FALSE
109,Number of persons with continuous observation in each year,109_numberOfPersonsWithContinuousObservationInEachYear.sql,TRUE,FALSE
110,Number of persons with continuous observation in each month,110_numberOfPersonsWithContinuousObservationInEachMonth.sql,TRUE,FALSE
111,Number of persons by observation period start month,111_112_numberOfPersosnByObservationPeriod.sql,TRUE,FALSE
112,Number of persons by observation period end month,111_112_numberOfPersosnByObservationPeriod.sql,TRUE,FALSE
113,Number of persons by number of observation periods,113_numberOfPersonsByNumberOfObservationPeriods.sql,TRUE,FALSE
114,Number of persons with observation period before year-of-birth,114_numberOfPersonsWithOPBeforeYearOfBirth.sql,TRUE,FALSE
115,Number of persons with observation period end < start,115_numberOfPersonsWithOPEndLesserThanStart.sql,TRUE,FALSE
116,Number of persons with at least one day of observation in each year by gender and age decile,116_numberOfPersonsWithOneDayObservation.sql,TRUE,FALSE
117,Number of persons with at least one day of observation in each year by gender and age decile,117_numberOfPersonsWithOneDayObservationInYear.sql,TRUE,FALSE
200,"Number of persons with at least one visit occurrence, by visit_concept_id",200_201.sql,TRUE,FALSE
201,"Number of visit occurrence records, by visit_concept_id",200_201.sql,TRUE,FALSE
202,"Number of persons by visit occurrence start month, by visit_concept_id",202_numberOfPersonsByVisitOccurrenceStartMonth.sql,TRUE,FALSE
203,Number of distinct visit occurrence concepts per person,203_numberOfVisitOccurrencePerPerson.sql,FALSE,TRUE
204,"Number of persons with at least one visit occurrence, by visit_concept_id by calendar year by gender by age decile",204_numberOfPersonsWithVisitOccurrence.sql,TRUE,FALSE
206,Distribution of age by visit_concept_id,206_distributionOfAge.sql,FALSE,TRUE
207,Number of visit records with invalid person_id,207_numberOfVisitRecordsWithInvalidPersonId.sql,TRUE,FALSE
208,Number of visit records outside valid observation period,208_numberOfVisitRecordsOutsideValidOP.sql,TRUE,FALSE
209,Number of visit records with end date < start date,209_numberOfVisitRecordsWithEndDateLesserThanStartDate.sql,TRUE,FALSE
210,Number of visit records with invalid care_site_id,210_numberOfVisitRecordsWithInvalidCareSiteId.sql,TRUE,FALSE
211,Distribution of length of stay by visit_concept_id,211_distributionOfLengthOfStay.sql,FALSE,TRUE
220,Number of visit occurrence records by condition occurrence start month,220_numberOfVisitOccurrenceByConditionOccurrenceStartMonth.sql,TRUE,FALSE
400,"Number of persons with at least one condition occurrence, by condition_concept_id",400_401_numberOf.sql,TRUE,FALSE
401,"Number of condition occurrence records, by condition_concept_id",400_401_numberOf.sql,TRUE,FALSE
402,"Number of persons by condition occurrence start month, by condition_concept_id",402_numberOfPersonsByConditionOccurrenceStartMonth.sql,TRUE,FALSE
403,Number of distinct condition occurrence concepts per person,403_numberOfConditionOccurrenceConceptsPerPerson.sql,FALSE,TRUE
404,"Number of persons with at least one condition occurrence, by condition_concept_id by calendar year by gender by age decile",404_numberOfPersonsWithConditionOccurrence.sql,TRUE,FALSE
405,"Number of condition occurrence records, by condition_concept_id by condition_type_concept_id",405_numberOfConditionOccurrence.sql,TRUE,FALSE
406,Distribution of age by condition_concept_id,406_distributionOfAgeByConditionConceptId.sql,FALSE,TRUE
409,Number of condition occurrence records with invalid person_id,409_numberOfConditionOccurrenceWithInvalidPersonId.sql,TRUE,FALSE
410,Number of condition occurrence records outside valid observation period,410_numberOfConditionOccurrenceOutsideValidOP.sql,TRUE,FALSE
411,Number of condition occurrence records with end date < start date,411_numberOfConditionOccurrenceWithEndDateLesserThanStartDate.sql,TRUE,FALSE
412,Number of condition occurrence records with invalid provider_id,412_numberOfConditionOccurrenceWithInvalidProviderId.sql,TRUE,FALSE
413,Number of condition occurrence records with invalid visit_id,413_numberOfConditionOccurrenceWithInvalidVisitId.sql,TRUE,FALSE
